country_code,name,localadmin,region,locality,lat,lon,layer,source
NL,9401,Assen,Drenthe,Assen,52.9938,6.5623,postalcode,jobport
NL,9402,Assen,Drenthe,Assen,53.0043,6.5594,postalcode,jobport
NL,9403,Assen,Drenthe,Assen,53.0145,6.5862,postalcode,jobport
NL,9404,Assen,Drenthe,Assen,52.9868,6.5763,postalcode,jobport
NL,9405,Assen,Drenthe,Assen,52.9863,6.5293,postalcode,jobport
NL,9406,Assen,Drenthe,Assen,53.0022,6.5433,postalcode,jobport
NL,9407,Assen,Drenthe,Assen,53.0177,6.5614,postalcode,jobport
NL,9408,Assen,Drenthe,Assen,53.0031,6.5116,postalcode,jobport
NL,9409,Loon,Drenthe,Assen,53.0131,6.6118,postalcode,jobport
NL,9486,Rhee,Drenthe,Assen,53.0336,6.571,postalcode,jobport
NL,9487,Ter Aard,Drenthe,Assen,53.0271,6.5446,postalcode,jobport
NL,9488,Zeijerveld,Drenthe,Assen,53.0336,6.5193,postalcode,jobport
NL,9489,Zeijerveen,Drenthe,Assen,53.0135,6.521,postalcode,jobport
NL,9492,Ubbena,Drenthe,Assen,53.0494,6.5794,postalcode,jobport
NL,7741,Coevorden,Drenthe,Coevorden,52.6665,6.7349,postalcode,jobport
NL,7742,Coevorden,Drenthe,Coevorden,52.6587,6.7543,postalcode,jobport
NL,7751,Dalen,Drenthe,Coevorden,52.6928,6.7573,postalcode,jobport
NL,7753,Dalerpeel,Drenthe,Coevorden,52.6811,6.6613,postalcode,jobport
NL,7754,Wachtum,Drenthe,Coevorden,52.725,6.748,postalcode,jobport
NL,7755,Dalerveen,Drenthe,Coevorden,52.694,6.8086,postalcode,jobport
NL,7756,Stieltjeskanaal,Drenthe,Coevorden,52.6747,6.8123,postalcode,jobport
NL,7841,Sleen,Drenthe,Coevorden,52.7696,6.8016,postalcode,jobport
NL,7842,Diphoorn,Drenthe,Coevorden,52.7706,6.8183,postalcode,jobport
NL,7843,Erm,Drenthe,Coevorden,52.7484,6.8084,postalcode,jobport
NL,7845,Holsloot,Drenthe,Coevorden,52.7225,6.8055,postalcode,jobport
NL,7846,Noord-Sleen,Drenthe,Coevorden,52.7914,6.8021,postalcode,jobport
NL,7847,'t Haantje,Drenthe,Coevorden,52.8143,6.8254,postalcode,jobport
NL,7848,Schoonoord,Drenthe,Coevorden,52.8443,6.7566,postalcode,jobport
NL,7849,De Kiel,Drenthe,Coevorden,52.8625,6.7444,postalcode,jobport
NL,7851,Zweeloo,Drenthe,Coevorden,52.7975,6.7328,postalcode,jobport
NL,7852,Wezup,Drenthe,Coevorden,52.8145,6.7187,postalcode,jobport
NL,7853,Wezuperbrug,Drenthe,Coevorden,52.8406,6.7256,postalcode,jobport
NL,7854,Aalden,Drenthe,Coevorden,52.7935,6.7139,postalcode,jobport
NL,7855,Meppen,Drenthe,Coevorden,52.7822,6.6911,postalcode,jobport
NL,7856,Benneveld,Drenthe,Coevorden,52.7754,6.7474,postalcode,jobport
NL,7861,Oosterhesselen,Drenthe,Coevorden,52.7547,6.7221,postalcode,jobport
NL,7863,Gees,Drenthe,Coevorden,52.7485,6.6893,postalcode,jobport
NL,7864,Zwinderen,Drenthe,Coevorden,52.7235,6.6735,postalcode,jobport
NL,7917,Geesbrug,Drenthe,Coevorden,52.7287,6.6277,postalcode,jobport
NL,7929,Nieuwlande Coevorden,Drenthe,Coevorden,52.7003,6.6341,postalcode,jobport
NL,7761,Schoonebeek,Drenthe,Emmen,52.6646,6.8832,postalcode,jobport
NL,7764,Zandpol,Drenthe,Emmen,52.6939,6.8642,postalcode,jobport
NL,7765,Weiteveen,Drenthe,Emmen,52.6721,6.9897,postalcode,jobport
NL,7766,Nieuw-Schoonebeek,Drenthe,Emmen,52.6476,6.9892,postalcode,jobport
NL,7811,Emmen,Drenthe,Emmen,52.7829,6.8955,postalcode,jobport
NL,7812,Emmen,Drenthe,Emmen,52.7641,6.8863,postalcode,jobport
NL,7813,Emmen,Drenthe,Emmen,52.7565,6.8656,postalcode,jobport
NL,7814,Emmen,Drenthe,Emmen,52.8013,6.8984,postalcode,jobport
NL,7815,Emmen,Drenthe,Emmen,52.7981,6.8935,postalcode,jobport
NL,7821,Emmen,Drenthe,Emmen,52.7707,6.912,postalcode,jobport
NL,7822,Emmen,Drenthe,Emmen,52.7909,6.9045,postalcode,jobport
NL,7823,Emmen,Drenthe,Emmen,52.792,6.9385,postalcode,jobport
NL,7824,Emmen,Drenthe,Emmen,52.7808,6.9298,postalcode,jobport
NL,7825,Emmen,Drenthe,Emmen,52.7562,6.9349,postalcode,jobport
NL,7826,Emmen,Drenthe,Emmen,52.7714,6.9589,postalcode,jobport
NL,7827,Emmen,Drenthe,Emmen,52.7476,6.8901,postalcode,jobport
NL,7828,Emmen,Drenthe,Emmen,52.7329,6.9078,postalcode,jobport
NL,7831,Nieuw-Weerdinge,Drenthe,Emmen,52.8526,6.98,postalcode,jobport
NL,7833,Nieuw-Amsterdam,Drenthe,Emmen,52.7124,6.8599,postalcode,jobport
NL,7844,Veenoord,Drenthe,Emmen,52.711,6.8479,postalcode,jobport
NL,7881,Klazienaveen,Drenthe,Emmen,52.7442,7.0086,postalcode,jobport
NL,7881,Emmer-Compascuum,Drenthe,Emmen,52.8089,7.0344,postalcode,jobport
NL,7884,Barger-Compascuum,Drenthe,Emmen,52.7554,7.0441,postalcode,jobport
NL,7885,Nieuw-Dordrecht,Drenthe,Emmen,52.7461,6.9636,postalcode,jobport
NL,7887,Erica,Drenthe,Emmen,52.7117,6.925,postalcode,jobport
NL,7889,Klazienaveen-Noord,Drenthe,Emmen,52.7664,7.0021,postalcode,jobport
NL,7891,Klazienaveen,Drenthe,Emmen,52.7237,6.9883,postalcode,jobport
NL,7892,Klazienaveen,Drenthe,Emmen,52.7317,6.9704,postalcode,jobport
